teks_keluhan_awam|teks_laporan_teknisi|kategori_aset|severity|root_cause|jenis_kerusakan|biaya_perbaikan
Plafon di Gedung Parkir Lantai 2 Zona Timur sering kali mengalami perubahan suhu yang tidak stabil, membuat saya khawatir|Setelah melakukan analisis, saya menyimpulkan bahwa plafon lokal di Gedung Parkir Lantai 2 Zona Timur memerlukan perawatan rutin untuk menghindari kerusakan lebih lanjut|Arsitektur|Sedang|Kurang perawatan|Suhu tidak stabil|354000
Saya mengalami ketidaknyamanan di Gedung Parkir Lantai 2 Zona Timur karena plafon lokal di sana tidak dapat mengatur suhu dengan baik|Setelah melakukan pengecekan, saya menemukan bahwa plafon lokal di Gedung Parkir Lantai 2 Zona Timur mengalami kerusakan karena kurang perawatan, sehingga menyebabkan suhu tidak stabil|Arsitektur|Sedang|Kurang perawatan|Suhu tidak stabil|354000
Pompa boster Wilo di Gedung Parkir Lantai 2 Zona Tengah tidak berfungsi dengan baik|Pompa boster Wilo yang terletak di Gedung Parkir Lantai 2 Zona Tengah mengalami kerusakan akibat usia pakai, sehingga menyebabkan aus/abrasi|Mechanical|Berat|Usia pakai|Aus/abrasi|2996000
Pompa Wilo di lantai 2 zona tengah gedung parkir mengalami masalah, tidak bisa mengalirkan air dengan lancar|Pemeriksaan menunjukkan bahwa pompa boster Wilo yang dipasang di Gedung Parkir Lantai 2 Zona Tengah sudah aus, sehingga perlu dilakukan perbaikan|Mechanical|Berat|Usia pakai|Aus/abrasi|2996000
Gedung Parkir Lantai 2 Zona Tengah mengalami masalah dengan pompa boster merek Wilo, yang sudah tidak bisa beroperasi dengan normal|Kerusakan pada pompa boster Wilo di Gedung Parkir Lantai 2 Zona Tengah disebabkan oleh usia pakai yang sudah lama, sehingga menyebabkan aus/abrasi dan memerlukan perbaikan|Mechanical|Berat|Usia pakai|Aus/abrasi|2996000
Jet shower import di gedung C lantai 5 zona timur tidak bisa digunakan karena remotenya tidak berfungsi|Remote jet shower import di gedung C lantai 5 zona timur rusak dan tidak bisa digunakan, perlu diganti dengan yang baru|Plumbing|Ringan|Aus normal|Remote tidak berfungsi|460000
Jet shower merek import yang terletak di gedung C lantai 5 zona timur mengalami kerusakan pada remotenya sehingga tidak bisa dioperasikan|Kerusakan remote jet shower import di gedung C lantai 5 zona timur, kemungkinan karena aus normal, perlu dilakukan perbaikan segera|Plumbing|Ringan|Aus normal|Remote tidak berfungsi|460000
Saya tidak bisa menggunakan jet shower tipe import yang ada di gedung C lantai 5 zona timur karena remotenya tidak berfungsi, tolong diperbaiki segera|Remote jet shower import di gedung C lantai 5 zona timur tidak berfungsi, kemungkinan karena aus normal, perlu dilakukan perbaikan dengan mengganti remote yang baru|Plumbing|Ringan|Aus normal|Remote tidak berfungsi|460000
Lampu plafon gypsum import di Gedung Parkir Lantai 5 Zona Utara tiba-tiba mati|Setelah penyelidikan, ditemukan bahwa penyebab mati mendadaknya plafon gypsum import di Gedung Parkir Lantai 5 Zona Utara adalah human error saat pemasangan|Arsitektur|Ringan|Human error|Mati mendadak|389000
Plafon GRC merek import di Gedung Parkir Lantai 5 Zona Utara tidak menyala|Laporan teknisi menunjukkan bahwa plafon GRC merek import di Gedung Parkir Lantai 5 Zona Utara mengalami mati mendadak karena human error|Arsitektur|Ringan|Human error|Mati mendadak|389000
Gedung Parkir Lantai 5 Zona Utara mengalami kerusakan plafon gypsum import yang tiba-tiba mati|Pemeriksaan teknisi menemukan bahwa penyebab kerusakan plafon gypsum import di Gedung Parkir Lantai 5 Zona Utara adalah human error yang menyebabkan mati mendadak|Arsitektur|Ringan|Human error|Mati mendadak|389000
AC Split Samsung di Gedung Utama Lantai 7 Zona Barat tidak mau hidup|Setelah dilakukan pengecekan, ditemukan bahwa AC Split Samsung di Gedung Utama Lantai 7 Zona Barat macet karena kurang perawatan|Mechanical|Ringan|Kurang perawatan|Macet/tersumbat|244000
AC Split Samsung di kantor saya di Gedung Utama Lantai 7 Zona Barat tiba-tiba macet|Setelah dilakukan inspeksi, ditemukan bahwa AC Split Samsung tersebut memerlukan perawatan karena kurang dirawat sehingga menyebabkan kerusakan ringan|Mechanical|Ringan|Kurang perawatan|Macet/tersumbat|244000
Saya memiliki masalah dengan AC Split Samsung di ruangan Gedung Utama Lantai 7 Zona Barat, karena tidak mau beroperasi dengan normal|Setelah dilakukan analisis, ditemukan bahwa AC Split Samsung tersebut mengalami kerusakan ringan karena kurang perawatan, sehingga menyebabkan macet|Mechanical|Ringan|Kurang perawatan|Macet/tersumbat|244000
Lampu di Control Panel Penerangan merek Import di Gedung Utama Lantai 19 Zona Utara sering mati tiba-tiba|Getaran berlebihan pada Control Panel Penerangan merek Import di Gedung Utama Lantai 19 Zona Utara menyebabkan kerusakan berat|Electrical|Berat|Faktor lingkungan|Getaran berlebihan|3729000
Control Panel Penerangan merek Import di Gedung Utama Lantai 19 Zona Utara tidak berfungsi dengan baik karena getaran berlebihan|Teknisi menemukan bahwa Control Panel Penerangan merek Import di Gedung Utama Lantai 19 Zona Utara mengalami kerusakan parah akibat getaran berlebihan|Electrical|Berat|Faktor lingkungan|Getaran berlebihan|3729000
Sistem penerangan di Gedung Utama Lantai 19 Zona Utara yang menggunakan Control Panel Penerangan merek Import mengalami gangguan berat|Pemeriksaan teknisi menunjukkan bahwa faktor lingkungan menyebabkan getaran berlebihan pada Control Panel Penerangan merek Import di Gedung Utama Lantai 19 Zona Utara|Electrical|Berat|Faktor lingkungan|Getaran berlebihan|3729000
Kamera CCTV Axis di Gedung D Lantai 4 Zona Tengah tidak berfungsi dengan baik karena terkena korosi|Kamera CCTV Axis di Gedung D Lantai 4 Zona Tengah mengalami kerusakan ringan akibat human error yang menyebabkan korosi|Security Sistem|Ringan|Human error|Berkarat/korosi|342000
Kamera pengawas Axis di lantai 4 Gedung D zona tengah rusak dan tidak bisa merekam|Setelah melakukan pengecekan, ditemukan bahwa kamera CCTV Axis di Gedung D Lantai 4 Zona Tengah mengalami kerusakan karena korosi yang disebabkan oleh human error|Security Sistem|Ringan|Human error|Berkarat/korosi|342000
Kamera keamanan Axis di zona tengah lantai 4 Gedung D mengalami masalah karena berkarat|Teknisi menemukan bahwa kamera CCTV Axis di Gedung D Lantai 4 Zona Tengah mengalami kerusakan ringan akibat human error yang menyebabkan korosi dan perlu diperbaiki|Security Sistem|Ringan|Human error|Berkarat/korosi|342000
Trafo 1 Phase import di Gedung Parkir Lantai 2 Zona Timur mengalami gangguan listrik|Trafo 1 Phase import di Gedung Parkir Lantai 2 Zona Timur mengalami korsleting karena kelembaban tinggi|Electrical|Berat|Kelembaban tinggi|Korsleting|5594000
Trafo listrik di Gedung Parkir Lantai 2 Zona Timur, merek import, tipe 1 Phase, tidak berfungsi dengan baik|Trafo 1 Phase import di lokasi tersebut mengalami kerusakan karena kelembaban yang tinggi menyebabkan korsleting|Electrical|Berat|Kelembaban tinggi|Korsleting|5594000
Gedung Parkir Lantai 2 Zona Timur mengalami masalah listrik, trafo 1 Phase import tidak berfungsi|Trafo 1 Phase import di Gedung Parkir Lantai 2 Zona Timur mengalami kerusakan parah karena kelembaban tinggi yang menyebabkan korsleting|Electrical|Berat|Kelembaban tinggi|Korsleting|5594000
Lampu downlight import di Gedung E Lantai 2 Zona Barat tiba-tiba tidak menyala sama sekali|Lampu downlight merek import di Gedung E Lantai 2 Zona Barat mengalami kerusakan total karena kualitas material yang buruk|Electrical|Berat|Kualitas material|Tidak berfungsi total|6573000
Lampu di Gedung E Lantai 2 Zona Barat tidak berfungsi, ternyata itu lampu downlight import|Laporan teknisi menunjukkan bahwa lampu downlight import di Gedung E Lantai 2 Zona Barat memiliki kerusakan yang sangat parah akibat kualitas material yang tidak memadai|Electrical|Berat|Kualitas material|Tidak berfungsi total|6573000
Lampu downlight merek import di kantor Gedung E Lantai 2 Zona Barat sudah tidak bisa digunakan lagi|Teknisi menemukan bahwa lampu downlight import di Gedung E Lantai 2 Zona Barat mengalami kegagalan total karena kualitas material yang tidak sesuai standar|Electrical|Berat|Kualitas material|Tidak berfungsi total|6573000
Kamera CCTV Hikvision di Gedung Utama Lantai 9 Zona Selatan tiba-tiba mati dan berkarat|Kerusakan fatal pada kamera CCTV Hikvision di Gedung Utama Lantai 9 Zona Selatan disebabkan kurang perawatan sehingga berkarat/korosi|Security Sistem|Fatal|Kurang perawatan|Berkarat/korosi|13766000
Kamera pengawas Hikvision tipe CCTV di lantai 9 Gedung Utama Zona Selatan mengalami kerusakan parah dan tidak berfungsi|Laporan teknisi menunjukkan bahwa kamera CCTV Hikvision di Gedung Utama Lantai 9 Zona Selatan mengalami kerusakan fatal karena kurang perawatan dan berkarat/korosi|Security Sistem|Fatal|Kurang perawatan|Berkarat/korosi|13766000
Sistem keamanan di Gedung Utama Lantai 9 Zona Selatan terganggu karena kamera CCTV Hikvision rusak berkarat|Kamera CCTV Hikvision di Gedung Utama Lantai 9 Zona Selatan rusak berkarat/korosi karena kurang perawatan sehingga menyebabkan gangguan fatal pada sistem keamanan|Security Sistem|Fatal|Kurang perawatan|Berkarat/korosi|13766000
Telp di Gedung E Lantai 5 Zona Selatan sering putus|Pemeriksaan menunjukkan bahwa PABX merek lokal di Gedung E Lantai 5 Zona Selatan mengalami aliran lemah karena debu/kotoran|Sistem Telekomunikasi Gedung|Sedang|Debu/kotoran|Aliran lemah|504000
Telepon di kantor Gedung E Lantai 5 Zona Selatan tidak berfungsi dengan baik|Setelah inspeksi, ditemukan bahwa PABX merek lokal di Gedung E Lantai 5 Zona Selatan memiliki masalah aliran lemah akibat debu/kotoran|Sistem Telekomunikasi Gedung|Sedang|Debu/kotoran|Aliran lemah|504000
Koneksi telepon di Gedung E Lantai 5 Zona Selatan sering terganggu|PABX merek lokal tipe PABX di Gedung E Lantai 5 Zona Selatan memiliki masalah aliran lemah karena debu/kotoran, sehingga perlu perbaikan|Sistem Telekomunikasi Gedung|Sedang|Debu/kotoran|Aliran lemah|504000
Remote dinding kayu generic di Gedung B Lantai 6 Zona Barat tidak berfungsi|Dinding kayu generic di Gedung B Lantai 6 Zona Barat mengalami kerusakan remote, kemungkinan akibat aus normal|Civil|Ringan|Aus normal|Remote tidak berfungsi|264000
Dinding kayu generic di Gedung B Lantai 6 Zona Barat mengalami masalah remote|Laporan teknisi: remote dinding kayu generic di Gedung B Lantai 6 Zona Barat tidak berfungsi, perlu perbaikan|Civil|Ringan|Aus normal|Remote tidak berfungsi|264000
Gedung B Lantai 6 Zona Barat: dinding kayu generic remote bermasalah|Teknisi melaporkan: kerusakan remote pada dinding kayu generic di Gedung B Lantai 6 Zona Barat, penyebabnya aus normal|Civil|Ringan|Aus normal|Remote tidak berfungsi|264000
Saya mendengar suara aneh dari mesin fingerprint lokal di Gedung Utama Lantai 6 Zona Barat|Teknisi menemukan bahwa mesin fingerprint lokal di Gedung Utama Lantai 6 Zona Barat mengalami overload sehingga mengeluarkan bunyi abnormal|Security Sistem|Ringan|Overload|Bunyi abnormal|230000
Mesin fingerprint lokal di Gedung Utama Lantai 6 Zona Barat tidak berfungsi dengan baik dan mengeluarkan suara yang tidak biasa|Setelah dilakukan pemeriksaan, teknisi menemukan bahwa mesin fingerprint lokal di Gedung Utama Lantai 6 Zona Barat mengalami overload yang menyebabkan bunyi abnormal|Security Sistem|Ringan|Overload|Bunyi abnormal|230000
Saya melaporkan bahwa mesin fingerprint lokal di Gedung Utama Lantai 6 Zona Barat mengalami kerusakan yang menyebabkan bunyi yang tidak biasa|Teknisi melakukan analisis dan menemukan bahwa kerusakan pada mesin fingerprint lokal di Gedung Utama Lantai 6 Zona Barat disebabkan oleh overload yang menyebabkan bunyi abnormal|Security Sistem|Ringan|Overload|Bunyi abnormal|230000
Telepon di Gedung B Lantai 2 Zona Tengah tidak bisa digunakan karena terlalu panas|Setelah melakukan pemeriksaan, ditemukan bahwa pesawat telepon lokal di Gedung B Lantai 2 Zona Tengah mengalami overheat karena debu dan kotoran|Sistem Telekomunikasi Gedung|Ringan|Debu/kotoran|Overheat|150000
Telepon lokal di Gedung B Lantai 2 Zona Tengah sering mati sendiri karena panas berlebih|Pemeriksaan menunjukkan bahwa pesawat telepon di Gedung B Lantai 2 Zona Tengah mengalami kerusakan karena debu dan kotoran yang menyebabkan overheat|Sistem Telekomunikasi Gedung|Ringan|Debu/kotoran|Overheat|150000
Pesawat telepon lokal di Gedung B Lantai 2 Zona Tengah tidak berfungsi dengan baik karena terlalu panas dan sering mengalami gangguan|Setelah dilakukan pemeriksaan, ditemukan bahwa kerusakan pada pesawat telepon di Gedung B Lantai 2 Zona Tengah disebabkan oleh debu dan kotoran yang menyebabkan overheat|Sistem Telekomunikasi Gedung|Ringan|Debu/kotoran|Overheat|150000
Lampu di Gedung Utama Lantai 3 Zona Selatan tiba-tiba mati dan tidak bisa dinyalakan kembali|Laporan teknisi: Manual COS Generic di Gedung Utama Lantai 3 Zona Selatan mengalami overload sehingga mengakibatkan kerusakan fatal|Electrical|Fatal|Overload|Macet/tersumbat|46941000
Lampu Generic Manual COS di ruangan Gedung Utama Lantai 3 Zona Selatan tidak bisa dinyalakan karena macet|Laporan teknisi: Overload pada Manual COS Generic di Gedung Utama Lantai 3 Zona Selatan menyebabkan kerusakan fatal yang memerlukan perbaikan segera|Electrical|Fatal|Overload|Macet/tersumbat|46941000
Sistem pencahayaan di Gedung Utama Lantai 3 Zona Selatan tiba-tiba mengalami gangguan dan tidak bisa digunakan karena lampu Generic Manual COS mengalami kerusakan|Laporan teknisi: Kerusakan fatal pada Manual COS Generic di Gedung Utama Lantai 3 Zona Selatan disebabkan oleh overload yang mengakibatkan biaya perbaikan sebesar 46941000|Electrical|Fatal|Overload|Macet/tersumbat|46941000
Saya mengalami masalah dengan MTS Panel Generic di Gedung Servis Lantai 2 Zona Utara, karena terjadi korosi yang parah|Laporan teknisi: MTS Panel Generic di Gedung Servis Lantai 2 Zona Utara mengalami kerusakan berat karena human error yang menyebabkan korosi, perlu perbaikan segera|Electrical|Berat|Human error|Berkarat/korosi|8949000
MTS Panel Generic di Gedung Servis Lantai 2 Zona Utara tidak berfungsi dengan baik, kemungkinan karena kerusakan korosi|Laporan teknisi: Setelah inspeksi, ditemukan bahwa MTS Panel Generic di Gedung Servis Lantai 2 Zona Utara mengalami kerusakan korosi yang disebabkan oleh human error, perlu perbaikan segera|Electrical|Berat|Human error|Berkarat/korosi|8949000
Sistem listrik di Gedung Servis Lantai 2 Zona Utara mengalami gangguan karena MTS Panel Generic yang berkarat|Laporan teknisi: MTS Panel Generic di Gedung Servis Lantai 2 Zona Utara mengalami kerusakan berat karena korosi yang disebabkan oleh human error, biaya perbaikan diperlukan sebesar 8949000|Electrical|Berat|Human error|Berkarat/korosi|8949000
Lampu di Gedung C Lantai 4 Zona Barat tiba-tiba mati dan tidak stabil, kontrol panel penerangan merek Import jenis Control Panel Penerangan bermasalah|Tekanan listrik di kontrol panel penerangan merek Import, tipe Control Panel Penerangan di Gedung C Lantai 4 Zona Barat tidak stabil sehingga menyebabkan lampu tidak menyala|Electrical|Ringan|Aus normal|Tekanan tidak stabil|323000
Lampu di zona barat Gedung C Lantai 4 tidak menyala, panel kontrol merek Import untuk penerangan tipe Control Panel Penerangan tidak berfungsi dengan baik|Kerusakan pada kontrol panel penerangan merek Import tipe Control Panel Penerangan di Gedung C Lantai 4 Zona Barat menyebabkan tekanan listrik tidak stabil|Electrical|Ringan|Aus normal|Tekanan tidak stabil|323000
Sistem penerangan di Gedung C Lantai 4 Zona Barat bermasalah, kontrol panel merek Import jenis Control Panel Penerangan tidak mengatur tekanan dengan baik|Kontrol panel penerangan merek Import tipe Control Panel Penerangan di Gedung C Lantai 4 Zona Barat mengalami kerusakan sehingga tekanan listrik tidak stabil|Electrical|Ringan|Aus normal|Tekanan tidak stabil|323000
Sistem pemadam kebakaran APAB Dry Powder merek lokal di Gedung A Lantai 4 Zona Timur tidak berfungsi dengan baik|Sistem pemadam kebakaran APAB Dry Powder merek lokal di Gedung A Lantai 4 Zona Timur mengalami kerusakan pada tampilan sehingga tidak dapat digunakan|Sistem Pemadam Kebakaran|Sedang|Aus normal|Tampilan rusak|1924000
Saya menemukan masalah dengan sistem pemadam kebakaran APAB Dry Powder merek lokal di Gedung A Lantai 4 Zona Timur, tampilannya rusak|Setelah melakukan inspeksi, saya temukan bahwa sistem pemadam kebakaran APAB Dry Powder merek lokal di Gedung A Lantai 4 Zona Timur memang mengalami kerusakan pada tampilan karena aus normal|Sistem Pemadam Kebakaran|Sedang|Aus normal|Tampilan rusak|1924000
Sistem pemadam kebakaran di Gedung A Lantai 4 Zona Timur, yaitu APAB Dry Powder merek lokal, tidak berfungsi dengan baik karena tampilannya rusak|Setelah melakukan pengecekan, saya menemukan bahwa sistem pemadam kebakaran APAB Dry Powder merek lokal di Gedung A Lantai 4 Zona Timur memang mengalami kerusakan pada tampilan akibat aus normal|Sistem Pemadam Kebakaran|Sedang|Aus normal|Tampilan rusak|1924000
AC Split merek Gree di Gedung Utama Lantai 13 Zona Utara tiba-tiba mati sehingga tidak bisa digunakan|Laporan teknisi: AC Split merek Gree di Gedung Utama Lantai 13 Zona Utara mengalami kerusakan berat karena faktor lingkungan, sehingga memerlukan perbaikan segera|Mechanical|Berat|Faktor lingkungan|Mati mendadak|9418000
AC Split Gree di kantor lantai 13 zona utara Gedung Utama tidak menyala lagi|Laporan teknisi: Setelah pemeriksaan, ditemukan bahwa AC Split Gree di Gedung Utama Lantai 13 Zona Utara mengalami kerusakan parah karena faktor lingkungan, sehingga biaya perbaikan diperlukan sebesar 9418000|Mechanical|Berat|Faktor lingkungan|Mati mendadak|9418000
Tiba-tiba AC Split merek Gree di ruangan Gedung Utama Lantai 13 Zona Utara tidak bisa dinyalakan|Laporan teknisi: Setelah melakukan pengecekan, ditemukan bahwa AC Split merek Gree di Gedung Utama Lantai 13 Zona Utara mengalami kerusakan berat karena faktor lingkungan, sehingga memerlukan biaya perbaikan sebesar 9418000 untuk mengembalikan fungsinya|Mechanical|Berat|Faktor lingkungan|Mati mendadak|9418000
Pintu kaca hidrolik merek lokal di Gedung D Lantai 11 Zona Barat terus bergetar|Pintu kaca hidrolik merek lokal di Gedung D Lantai 11 Zona Barat mengalami getaran berlebihan karena tegangan tidak stabil|Arsitektur|Ringan|Tegangan tidak stabil|Getaran berlebihan|249000
Pintu hidrolik kaca di Gedung D Lantai 11 Zona Barat tidak stabil dan bergetar saat dibuka|Pemeriksaan menunjukkan bahwa pintu kaca hidrolik merek lokal di Gedung D Lantai 11 Zona Barat mengalami getaran berlebihan akibat tegangan yang tidak stabil|Arsitektur|Ringan|Tegangan tidak stabil|Getaran berlebihan|249000
Pintu kaca hidrolik merek lokal di lantai 11 Gedung D Zona Barat terus mengalami getaran berlebihan saat digunakan|Laporan teknisi menunjukkan bahwa pintu kaca hidrolik merek lokal di Gedung D Lantai 11 Zona Barat mengalami kerusakan karena tegangan tidak stabil|Arsitektur|Ringan|Tegangan tidak stabil|Getaran berlebihan|249000
Pemadam kebakaran di Gedung A Lantai 7 Zona Barat tidak berfungsi dengan baik|APAR Dry Powder Stored Pressure import mengalami kerusakan akibat aus normal, sehingga tidak dapat digunakan saat diperlukan|Sistem Pemadam Kebakaran|Berat|Aus normal|Aus/abrasi|2335000
Pemadam kebakaran merek import tipe APAR Dry Powder Stored Pressure di lantai 7 Gedung A Zona Barat mengalami masalah|Kerusakan pada APAR Dry Powder Stored Pressure import di Gedung A Lantai 7 Zona Barat disebabkan oleh aus normal, sehingga memerlukan perbaikan segera|Sistem Pemadam Kebakaran|Berat|Aus normal|Aus/abrasi|2335000
Alat pemadam kebakaran APAR Dry Powder Stored Pressure merek import di Gedung A Lantai 7 Zona Barat rusak karena aus|Laporan teknisi menunjukkan bahwa APAR Dry Powder Stored Pressure import di Gedung A Lantai 7 Zona Barat mengalami kerusakan akibat aus normal, sehingga perlu diperbaiki dengan biaya yang cukup tinggi|Sistem Pemadam Kebakaran|Berat|Aus normal|Aus/abrasi|2335000
Pemadaman kebakaran di Gedung Servis Lantai 2 Zona Utara tidak berfungsi dengan baik|Sistem APAB Dry Powder Generic di Gedung Servis Lantai 2 Zona Utara mengalami aliran lemah karena kelembaban tinggi|Sistem Pemadam Kebakaran|Sedang|Kelembaban tinggi|Aliran lemah|748000
Pemadaman api di lantai 2 zona utara gedung servis tidak berjalan maksimal|Periksa menunjukkan bahwa sistem APAB Dry Powder Generic mengalami kerusakan karena kelembaban yang terlalu tinggi|Sistem Pemadam Kebakaran|Sedang|Kelembaban tinggi|Aliran lemah|748000
Sistem pemadaman kebakaran di gedung servis lantai 2 zona utara tidak berfungsi dengan baik, kemungkinan karena kelembaban|Sistem APAB Dry Powder Generic di gedung servis lantai 2 zona utara memerlukan perbaikan karena mengalami aliran lemah akibat kelembaban tinggi|Sistem Pemadam Kebakaran|Sedang|Kelembaban tinggi|Aliran lemah|748000
Layar monitor merek Lokal di Gedung D Lantai 1 Zona Tengah tidak menampilkan gambar dengan baik|Layar monitor merek Lokal di Gedung D Lantai 1 Zona Tengah mengalami kerusakan tampilan|Sistem Telekomunikasi Gedung|Sedang|Aus normal|Tampilan rusak|574000
Layar monitor Lokal di Gedung D Lantai 1 Zona Tengah tiba-tiba mati dan tidak bisa dinyalakan kembali|Layar monitor Lokal di Gedung D Lantai 1 Zona Tengah mengalami kerusakan tampilan yang disebabkan oleh aus normal|Sistem Telekomunikasi Gedung|Sedang|Aus normal|Tampilan rusak|574000
Monitor Lokal di Gedung D Lantai 1 Zona Tengah tidak menampilkan gambar dengan jelas dan terdistorsi|Layar monitor Lokal di Gedung D Lantai 1 Zona Tengah mengalami kerusakan tampilan yang disebabkan oleh aus normal dan perlu diganti|Sistem Telekomunikasi Gedung|Sedang|Aus normal|Tampilan rusak|574000
Lampu Neon Sign import di Gedung B Lantai 2 Zona Barat tiba-tiba mati dan bocor|Lampu Neon Sign import di Gedung B Lantai 2 Zona Barat mengalami kebocoran karena aus normal, perlu perbaikan|Electrical|Ringan|Aus normal|Kebocoran|394000
Lampu Neon Sign merek import di Gedung B Lantai 2 Zona Barat tidak menyala dan ada kebocoran|Lampu Neon Sign import di Gedung B Lantai 2 Zona Barat mengalami kebocoran karena aus normal, diperlukan perbaikan segera|Electrical|Ringan|Aus normal|Kebocoran|394000
Lampu Neon Sign di Gedung B Lantai 2 Zona Barat, merek import, mengalami kebocoran dan tidak dapat digunakan|Lampu Neon Sign import di Gedung B Lantai 2 Zona Barat mengalami kebocoran karena aus normal, biaya perbaikan sebesar 394000|Electrical|Ringan|Aus normal|Kebocoran|394000
Lampu LED Bulb Generic di Gedung C Lantai 2 Zona Tengah tiba-tiba mati dan retak|Lampu LED Bulb Generic di Gedung C Lantai 2 Zona Tengah mengalami kerusakan retak akibat tegangan tidak stabil|Electrical|Ringan|Tegangan tidak stabil|Retak/pecah|361000
Lampu di Gedung C Lantai 2 Zona Tengah tidak menyala dan kaca lampu LED Bulb Generic retak|Kerusakan pada Lampu LED Bulb Generic di Gedung C Lantai 2 Zona Tengah disebabkan oleh tegangan listrik yang tidak stabil sehingga menyebabkan retak|Electrical|Ringan|Tegangan tidak stabil|Retak/pecah|361000
Lampu LED Bulb Generic di area tengah Gedung C Lantai 2 tiba-tiba retak dan tidak menyala|Teknisi menemukan bahwa Lampu LED Bulb Generic di Gedung C Lantai 2 Zona Tengah mengalami kerusakan akibat tegangan tidak stabil yang menyebabkan retak pada kaca lampu|Electrical|Ringan|Tegangan tidak stabil|Retak/pecah|361000
Pintu kaca hidrolik import di Gedung A Lantai 12 Zona Utara mengeluarkan suara aneh saat dibuka|Pintu kaca hidrolik merek import di Gedung A Lantai 12 Zona Utara mengalami kerusakan yang menyebabkan bunyi abnormal saat digunakan|Arsitektur|Ringan|Aus normal|Bunyi abnormal|279000
Pintu hidrolik kaca di lantai 12 Gedung A Zona Utara yang merk import bunyi nyaring saat ditutup|Kerusakan pada pintu kaca hidrolik import di Gedung A Lantai 12 Zona Utara menyebabkan bunyi tidak normal saat digunakan|Arsitektur|Ringan|Aus normal|Bunyi abnormal|279000
Pintu kaca hidrolik merek import di Gedung A Lantai 12 Zona Utara mengeluarkan suara berdengung saat dibuka atau ditutup|Teknisi menemukan bahwa pintu kaca hidrolik import di Gedung A Lantai 12 Zona Utara mengalami kerusakan yang menyebabkan bunyi abnormal|Arsitektur|Ringan|Aus normal|Bunyi abnormal|279000
Lampu di Gedung E Lantai 4 Zona Barat tidak menyala, kemungkinan karena trafo IT UPS Generic|Lampu mati di Gedung E Lantai 4 Zona Barat disebabkan oleh aus normal pada trafo IT UPS Generic, perlu perbaikan|Electrical|Sedang|Aus normal|Lampu mati|840000
Trafo IT UPS Generic di Gedung E Lantai 4 Zona Barat bermasalah, sehingga lampu tidak menyala|Trafo IT UPS Generic di Gedung E Lantai 4 Zona Barat mengalami kerusakan akibat aus normal, menyebabkan lampu mati, perlu diperbaiki|Electrical|Sedang|Aus normal|Lampu mati|840000
Gedung E Lantai 4 Zona Barat mengalami masalah lampu, kemungkinan disebabkan oleh kerusakan trafo IT UPS Generic|Kerusakan pada trafo IT UPS Generic di Gedung E Lantai 4 Zona Barat menyebabkan lampu mati, perlu dilakukan perbaikan dengan biaya yang sesuai|Electrical|Sedang|Aus normal|Lampu mati|840000
Trafo IT UPS Generic di Gedung Parkir Lantai 2 Zona Barat bermasalah, tidak mengeluarkan daya|Trafo IT UPS Generic di Gedung Parkir Lantai 2 Zona Barat mengalami kerusakan berat karena korosi, perlu perbaikan segera|Electrical|Ringan|Aus normal|Berkarat/korosi|322000
Trafo UPS Generic di lantai 2 Gedung Parkir Zona Barat rusak, kemungkinan karena faktor usia|Trafo IT UPS Generic di Gedung Parkir Lantai 2 Zona Barat mengalami kerusakan komponen internal karena aus, menyebabkan korosi|Electrical|Ringan|Aus normal|Berkarat/korosi|322000
Gedung Parkir Lantai 2 Zona Barat mengalami pemadaman listrik, kemungkinan disebabkan oleh Trafo IT UPS Generic yang rusak|Trafo IT UPS Generic di Gedung Parkir Lantai 2 Zona Barat mengalami korosi pada komponen internal, memerlukan perbaikan untuk menghindari kerusakan lebih lanjut|Electrical|Ringan|Aus normal|Berkarat/korosi|322000
Lampu downlight merek lokal di Gedung D Lantai 6 Zona Barat tiba-tiba mati dan tidak bisa dinyalakan kembali|Lampu downlight merek lokal di Gedung D Lantai 6 Zona Barat mengalami kerusakan karena suhu tidak stabil akibat overload|Electrical|Sedang|Overload|Suhu tidak stabil|331000
Lampu di Gedung D Lantai 6 Zona Barat tiba-tiba redup dan tidak stabil, kemungkinan karena lampu downlight merek lokal yang dipasang|Setelah melakukan pengecekan, ditemukan bahwa lampu downlight merek lokal di Gedung D Lantai 6 Zona Barat mengalami kerusakan karena suhu tidak stabil akibat overload|Electrical|Sedang|Overload|Suhu tidak stabil|331000
Lampu downlight merek lokal di Gedung D Lantai 6 Zona Barat sering mati dan tidak bisa dinyalakan kembali, kemungkinan karena ada masalah dengan kelistrikan|Setelah melakukan analisis, ditemukan bahwa lampu downlight merek lokal di Gedung D Lantai 6 Zona Barat mengalami kerusakan karena suhu tidak stabil akibat overload|Electrical|Sedang|Overload|Suhu tidak stabil|331000
Lampu LED import di Gedung Utama Lantai 9 Zona Selatan tiba-tiba mati|Lampu LED import di Gedung Utama Lantai 9 Zona Selatan mengalami penurunan performa akibat aus normal|Merek Import Tipe Lampu LED|Berat|Aus normal|Performa menurun|7488000
Lampu di ruangan kami yang menggunakan Lampu LED import sudah tidak menyala dengan baik|Setelah dilakukan pengecekan, Lampu LED import di Gedung Utama Lantai 9 Zona Selatan memerlukan perbaikan karena performa menurun akibat aus normal|Merek Import Tipe Lampu LED|Berat|Aus normal|Performa menurun|7488000
